move_sequence,result

Nf3 Nf6 g3 b6 Bg2 Bb7 O-O e6 c4 c5 Nc3 Be7 d4 cxd4 Qxd4 O-O Rd1 Na6 Bf4 Nc5 Rac1 a6 b4 Nce4 Nxe4 Bxe4 Bd6 Bxd6 Qxd6 Qb8 Ne5 Bxg2 Kxg2 Rd8 c5 bxc5 bxc5 h6 a4 Qb7+ c6 dxc6 Qxc6 Qb2 Qc7 Rxd1 Qxf7+ Kh7 Rc7 Ne8 Qg6+ Kg8 Qxe6+ Kh7 Qf5+ Kg8 Re7 Qb1 Qf7+ Kh7 Nd7 Rxd7 Rxd7 Qe4+ Qf3 Nf6 Rd6 Qxf3+ exf3 a5 g4 Kg8 Kg3 Kf7 h4 Ke7 Rb6 Nd7 Rb5 Kd6 Rb7 Kc6 Rb1 Nc5 Rc1 Rb8 f4 Rb4 f5 Rxa4 g5 hxg5 hxg5 Kd5 f3 Ra3 Kg4 Ra4+ Kh5 Rf4 f6 gxf6 g6 Ne6 Ra1 Rxf3 Rxa5+ Ke4 Ra4+ Ke5 Ra5+ Kd6 Ra6+ Ke7 Ra7+ Kf8 Ra8+ Kg7 Ra7+ Kg8 Ra8+ Nf8 Ra6 Rf5+ Kh6 Rf1 Kh5 Rh1+ Kg4 Rg1+ Kf5 Rf1+ Kg4 Nxg6,0-1
d4 d5 c4 e6 Nc3 Nf6 cxd5 exd5 Bf4 Bb4 e3 Bf5 Bd3 Bxd3 Qxd3 O-O Ne2 Nc6 O-O Qe7 Rac1 Bxc3 Nxc3 Ne4 Nxd5 Qd8 Qxe4 Re8 Qf3 g5 Bxc7 Qc8 Nf6+ Kg7 Nxe8+ Qxe8 Qf5 Qe6 Qxg5+ Qg6 Qxg6+ hxg6 d5 Rc8 Bf4 Nb4 Rxc8 Nxd5 Be5+ f6 Bd4 b6 e4 b5 exd5 b4 d6 b3 d7 bxa2 d8=Q Kh6 Qxf6,0-1
d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 Nf3 g6 h3 Bg7 e4 O-O Be3 a6 a4 Re8 Nd2 Nxe4 Ncxe4 f5 Be2 fxe4 Nc4 a5 Bf4 Bf8 Ra3 Na6 h4 Nb4 Rg3 Qf6 Be3 Bf5 h5 Bg7 hxg6 Bxg6 Bh5 Nd3+ Kf1 Rf8 Bxg6 hxg6 Qe2 Rae8 Kg1 Ne5 Bg5 Qxf2+ Qxf2 Rxf2 Kxf2 Nxc4 b3 Nb6,0-1
e4 c5 Nf3 e6 d3 Nc6 g3 d5 Qe2 Nf6 Bg2 Be7 e5 Nd7 c4 O-O O-O b5 cxd5 exd5 Nc3 Nb6 Nxb5 Bf5 Bf4 Re8 Qd2 h6 h4 Nb4 e6 fxe6 Nc7 Nxd3 Nxe8 Nc4 Qc3 Qxe8 Be5 Ncxe5 Nxe5 d4 Qxd3 Bxd3 Nxd3 c4 Nf4 Rb8 Nxe6 Qd7 Nf4 g5 Nd5 Kf7 Rae1 Bc5 hxg5 hxg5 Re5 Rxb2 Be4 d3 Rf5+ Ke6 Rxg5 Rxf2 Rxf2 Bxf2+ Kxf2 Qa4 Nf4+ Kd6 Rd5+ Ke7 Ke3 Qxa2 g4 Qa1 Ng6+ Ke6 Nf4+ Ke7,0-1
e4 e5 Nf3 Nc6 Bb5 f5 d3 Nf6 Nc3 fxe4 dxe4 Bb4 Bxc6 Bxc3+ bxc3 bxc6 Qd3 d6 O-O O-O c4 Bg4 Bg5 Bxf3 Qxf3 Qe8 c5 Nd7 Qb3+ Qf7 cxd6 cxd6 Be7 Rfb8 Qxf7+ Kxf7 Bxd6 Rb2 Rfc1 c5 c3 Ke6 Rd1 Rc8 Rd3 c4 Rd5 Nb6 Ba3 Rc2 Rd6+ Kf7 Bb4 Rc7 Ba5 Rd7 Rc6 Rxa2 Rb1 Rxa5 h4 Ra3 Rb5 Re7 g4 Rxc3 g5 Rf3 h5 g6 Kg2 Rf4 f3 gxh5 Rh6 Kg7 Rc5 Nd7 Rc7 Ref7 Rxh5 Nf8 Rxc4 Rxf3 Rh1 Ng6 Ra1 Nh4+ Kh2 Rb3 Rc5 Rf2+,0-1
a3 d5 Nf3 Nf6 g3 c5 b4 cxb4 axb4 e6 Ba3 Bd6 Bg2 O-O O-O e5 b5 Re8 c4 dxc4 Bxd6 Qxd6 Na3 e4 Nxc4 Qc5 Nfe5 Rxe5 d4 exd3 Nxe5 Qxe5 Qxd3 Nbd7 Rfc1 g6 Ra3 Kg7 h3 h5 f4 Qe7 Rc7 Qb4 Rb3 Qe1+ Kh2 Nb6 Rb1 Qa5 Qb3 Be6 Qxe6 Rf8 Rxb7 Qd2 Qe5 Nc4 Qa1 h4 Rb3 Ne3 Rxe3 Qxe3 gxh4 Qxf4+ Kh1 Rc8 e3 Qxe3 Qxa7 Rc1+ Kh2 Qf4#,0-1
e4 c5 Nc3 g6 h4 Nc6 h5 Bg7 Bb5 d6 Bxc6+ bxc6 d3 Rb8 Qd2 gxh5 b3 c4 dxc4 Nf6 f3 Qa5 Nge2 Ba6 Nd4 Qe5 Nxc6 Nxe4 Nxe5 Nxd2 Bxd2 Bxe5 Rxh5 Kd7 O-O-O Rbg8 g4 Bb7 Nd5 e6 Rxe5 exd5 Rf5 dxc4 Rxf7+ Kc8 Bc3 Rf8 Rxb7 Kxb7 Bxh8 Rxh8 Rxd6 Rf8 Rd4 cxb3 axb3 Rxf3 Rd7+ Kb6 Rxh7 a5 Kb2 Kb5 Rh5+ Kb4 c3+ Rxc3 Rb5+ Kxb5 Kxc3,1-0
c4 e6 Nc3 d5 d4 Nf6 cxd5 exd5 Bf4 Be7 e3 O-O Bd3 c5 Nf3 Nc6 O-O cxd4 Nxd4 h6 h3 Bd6 Bxd6 Qxd6 Bc2 Be6 Bb3 Rfd8 Rc1 Rac8 Qd3 a6 Rfd1 Ne5 Qe2 b5 a3 Nc4 Bxc4 Rxc4 Rc2 b4 Nxe6 fxe6 Qxc4 dxc4 Rxd6 Rxd6 axb4 Nd5 Na2 Nb6 Kf1 Kf7 Ke2 Ke7 Nc3 Nd5 Na2 Rc6 g3 Kf6 e4 Nc7 b3 Nb5 Rxc4 Rd6 Ke3 e5 Nc3 Nxc3 Rxc3 Rb6 Rc4 g5 Kf3 h5 Ke3 Ke6 f4 Kf6 fxe5+ Kxe5 Rc5+ Kf6 b5 axb5 h4 gxh4 gxh4 Kg6 b4 Rb8 Rg5+ Kh6 Kf4 Rf8+ Rf5 Rg8 Rxb5 Rg4+ Kf5 Rxh4 Rb6+ Kg7 Rg6+ Kf7 Rg3 Rh1 Rb3 h4 b5 h3 Ke5 h2 Rb2 Ke7 b6,1-0
d4 Nf6 c4 e6 Nc3 d5 cxd5 exd5 Bf4 Bd6 Bxd6 Qxd6 e3 Bf5 Nf3 c6 Nh4 Be6 Bd3 Nbd7 h3 O-O O-O Nb6 Nf3 Rfe8 a4 a5 Qb3 Qb4 Qc2 Rac8 Rfc1 h6 Na2 Qd6 b3 Nfd7 Qd2 Ra8 Nc3 Nf6 Rab1 Nbd7 Ne2 g6 Nf4 Kg7 b4 Ne4 Qb2 axb4 Bxe4 dxe4 d5+ Nf6 Nd4 Bxd5 Nh5+ Kf8 Nb5 cxb5 Nxf6 Re5 Qxe5 Qxe5 Nd7+ Ke7 Nxe5 Ke6 f4 bxa4 Rxb4 a3 Rb6+ Ke7 Ra1 a2 Kf2 Ra3 Rb2 h5 g4 h4 g5 Ke6 Ng4 Ke7 Nf6 Bc6 Raxa2 Rc3 Rd2 Rc1 Ra3 Rh1 Kg2 Re1 Rc3 Ra1 Rxc6 bxc6 Nxe4 Ke6 Rd6+ Kf5 Nf2,1-0
